"...1","...2","...3","...4","...5"
"sonar_config_id","system","bank","frequency_setting","comments"
"1","DIDSON","Right Bank","Low Frequency",NA
"2","DIDSON","Left Bank","Low Frequency Low Resolution",NA
"3","DIDSON","Right Bank","Low Frequency Low Resolution",NA
"4","DIDSON","Right Bank","High Frequency",NA
"5","DIDSON","Left Bank","High Frequency",NA
"6","DIDSON","Left Bank","Low Frequency",NA
