"drift_id","species_id","life_history_type_id","catch_count","retention_type","marked_fish_type_id","created_at"
4,2,1,"2","retained",1,2025-09-09 10:31:34.139933
7,2,1,"2","retained",1,2025-09-09 10:31:34.139933
11,2,1,"1","retained",1,2025-09-09 10:31:34.139933
14,2,1,"2","retained",1,2025-09-09 10:31:34.139933
15,2,1,"2","retained",1,2025-09-09 10:31:34.139933
16,2,1,"1","retained",1,2025-09-09 10:31:34.139933
18,2,1,"1","retained",1,2025-09-09 10:31:34.139933
19,2,1,"1","retained",1,2025-09-09 10:31:34.139933
20,2,1,"2","retained",1,2025-09-09 10:31:34.139933
21,2,1,"2","retained",1,2025-09-09 10:31:34.139933
23,2,1,"1","retained",1,2025-09-09 10:31:34.139933
24,2,1,"1","retained",1,2025-09-09 10:31:34.139933
27,2,1,"2","retained",1,2025-09-09 10:31:34.139933
29,2,1,"5","retained",1,2025-09-09 10:31:34.139933
30,2,1,"1","retained",1,2025-09-09 10:31:34.139933
31,2,1,"1","retained",1,2025-09-09 10:31:34.139933
33,2,1,"1","retained",1,2025-09-09 10:31:34.139933
34,2,1,"1","retained",1,2025-09-09 10:31:34.139933
35,2,1,"3","retained",1,2025-09-09 10:31:34.139933
37,2,1,"3","retained",1,2025-09-09 10:31:34.139933
39,2,1,"1","retained",1,2025-09-09 10:31:34.139933
40,2,1,"1","retained",1,2025-09-09 10:31:34.139933
42,2,1,"1","retained",1,2025-09-09 10:31:34.139933
45,2,1,"1","retained",1,2025-09-09 10:31:34.139933
48,2,1,"1","retained",1,2025-09-09 10:31:34.139933
49,2,1,"1","retained",1,2025-09-09 10:31:34.139933
52,2,1,"3","retained",1,2025-09-09 10:31:34.139933
53,2,1,"1","retained",1,2025-09-09 10:31:34.139933
55,2,1,"5","retained",1,2025-09-09 10:31:34.139933
58,2,1,"13","retained",1,2025-09-09 10:31:34.139933
60,2,1,"1","retained",1,2025-09-09 10:31:34.139933
62,2,1,"2","retained",1,2025-09-09 10:31:34.139933
63,2,1,"6","retained",1,2025-09-09 10:31:34.139933
64,2,1,"1","retained",1,2025-09-09 10:31:34.139933
65,2,1,"7","retained",1,2025-09-09 10:31:34.139933
66,2,1,"1","retained",1,2025-09-09 10:31:34.139933
68,2,1,"3","retained",1,2025-09-09 10:31:34.139933
69,2,1,"8","retained",1,2025-09-09 10:31:34.139933
71,2,1,"1","retained",1,2025-09-09 10:31:34.139933
72,2,1,"3","retained",1,2025-09-09 10:31:34.139933
75,2,1,"2","retained",1,2025-09-09 10:31:34.139933
76,2,1,"3","retained",1,2025-09-09 10:31:34.139933
78,2,1,"6","retained",1,2025-09-09 10:31:34.139933
79,2,1,"1","retained",1,2025-09-09 10:31:34.139933
80,2,1,"2","retained",1,2025-09-09 10:31:34.139933
81,2,1,"7","retained",1,2025-09-09 10:31:34.139933
83,2,1,"3","retained",1,2025-09-09 10:31:34.139933
85,2,1,"11","retained",1,2025-09-09 10:31:34.139933
86,2,1,"2","retained",1,2025-09-09 10:31:34.139933
87,2,1,"2","retained",1,2025-09-09 10:31:34.139933
88,2,1,"2","retained",1,2025-09-09 10:31:34.139933
91,2,1,"4","retained",1,2025-09-09 10:31:34.139933
94,2,1,"5","retained",1,2025-09-09 10:31:34.139933
95,2,1,"3","retained",1,2025-09-09 10:31:34.139933
96,2,1,"1","retained",1,2025-09-09 10:31:34.139933
98,2,1,"3","retained",1,2025-09-09 10:31:34.139933
100,2,1,"3","retained",1,2025-09-09 10:31:34.139933
101,2,1,"4","retained",1,2025-09-09 10:31:34.139933
