"drift_id","species_id","life_history_type_id","catch_count","retention_type","marked_fish_type_id","created_at"
4,2,1,"2","retained",1,2025-09-09 11:58:19.076414
7,2,1,"2","retained",1,2025-09-09 11:58:19.076414
11,2,1,"1","retained",1,2025-09-09 11:58:19.076414
14,2,1,"2","retained",1,2025-09-09 11:58:19.076414
15,2,1,"2","retained",1,2025-09-09 11:58:19.076414
16,2,1,"1","retained",1,2025-09-09 11:58:19.076414
18,2,1,"1","retained",1,2025-09-09 11:58:19.076414
19,2,1,"1","retained",1,2025-09-09 11:58:19.076414
20,2,1,"2","retained",1,2025-09-09 11:58:19.076414
21,2,1,"2","retained",1,2025-09-09 11:58:19.076414
23,2,1,"1","retained",1,2025-09-09 11:58:19.076414
24,2,1,"1","retained",1,2025-09-09 11:58:19.076414
27,2,1,"2","retained",1,2025-09-09 11:58:19.076414
29,2,1,"5","retained",1,2025-09-09 11:58:19.076414
30,2,1,"1","retained",1,2025-09-09 11:58:19.076414
31,2,1,"1","retained",1,2025-09-09 11:58:19.076414
33,2,1,"1","retained",1,2025-09-09 11:58:19.076414
34,2,1,"1","retained",1,2025-09-09 11:58:19.076414
35,2,1,"3","retained",1,2025-09-09 11:58:19.076414
37,2,1,"3","retained",1,2025-09-09 11:58:19.076414
39,2,1,"1","retained",1,2025-09-09 11:58:19.076414
40,2,1,"1","retained",1,2025-09-09 11:58:19.076414
42,2,1,"1","retained",1,2025-09-09 11:58:19.076414
45,2,1,"1","retained",1,2025-09-09 11:58:19.076414
48,2,1,"1","retained",1,2025-09-09 11:58:19.076414
49,2,1,"1","retained",1,2025-09-09 11:58:19.076414
52,2,1,"3","retained",1,2025-09-09 11:58:19.076414
53,2,1,"1","retained",1,2025-09-09 11:58:19.076414
55,2,1,"5","retained",1,2025-09-09 11:58:19.076414
58,2,1,"13","retained",1,2025-09-09 11:58:19.076414
60,2,1,"1","retained",1,2025-09-09 11:58:19.076414
62,2,1,"2","retained",1,2025-09-09 11:58:19.076414
63,2,1,"6","retained",1,2025-09-09 11:58:19.076414
64,2,1,"1","retained",1,2025-09-09 11:58:19.076414
65,2,1,"7","retained",1,2025-09-09 11:58:19.076414
66,2,1,"1","retained",1,2025-09-09 11:58:19.076414
68,2,1,"3","retained",1,2025-09-09 11:58:19.076414
69,2,1,"8","retained",1,2025-09-09 11:58:19.076414
71,2,1,"1","retained",1,2025-09-09 11:58:19.076414
72,2,1,"3","retained",1,2025-09-09 11:58:19.076414
75,2,1,"2","retained",1,2025-09-09 11:58:19.076414
76,2,1,"3","retained",1,2025-09-09 11:58:19.076414
78,2,1,"6","retained",1,2025-09-09 11:58:19.076414
79,2,1,"1","retained",1,2025-09-09 11:58:19.076414
80,2,1,"2","retained",1,2025-09-09 11:58:19.076414
81,2,1,"7","retained",1,2025-09-09 11:58:19.076414
83,2,1,"3","retained",1,2025-09-09 11:58:19.076414
85,2,1,"11","retained",1,2025-09-09 11:58:19.076414
86,2,1,"2","retained",1,2025-09-09 11:58:19.076414
87,2,1,"2","retained",1,2025-09-09 11:58:19.076414
88,2,1,"2","retained",1,2025-09-09 11:58:19.076414
91,2,1,"4","retained",1,2025-09-09 11:58:19.076414
94,2,1,"5","retained",1,2025-09-09 11:58:19.076414
95,2,1,"3","retained",1,2025-09-09 11:58:19.076414
96,2,1,"1","retained",1,2025-09-09 11:58:19.076414
98,2,1,"3","retained",1,2025-09-09 11:58:19.076414
100,2,1,"3","retained",1,2025-09-09 11:58:19.076414
101,2,1,"4","retained",1,2025-09-09 11:58:19.076414
103,2,1,"20","retained",1,2025-09-09 11:58:19.076414
107,2,1,"6","retained",1,2025-09-09 11:58:19.076414
108,2,1,"2","retained",1,2025-09-09 11:58:19.076414
110,2,1,"3","retained",1,2025-09-09 11:58:19.076414
111,2,1,"4","retained",1,2025-09-09 11:58:19.076414
113,2,1,"7","retained",1,2025-09-09 11:58:19.076414
115,2,1,"1","retained",1,2025-09-09 11:58:19.076414
116,2,1,"8","retained",1,2025-09-09 11:58:19.076414
119,2,1,"3","retained",1,2025-09-09 11:58:19.076414
120,2,1,"1","retained",1,2025-09-09 11:58:19.076414
122,2,1,"3","retained",1,2025-09-09 11:58:19.076414
123,2,1,"2","retained",1,2025-09-09 11:58:19.076414
126,2,1,"4","retained",1,2025-09-09 11:58:19.076414
129,2,1,"5","retained",1,2025-09-09 11:58:19.076414
131,2,1,"1","retained",1,2025-09-09 11:58:19.076414
132,2,1,"5","retained",1,2025-09-09 11:58:19.076414
133,2,1,"1","retained",1,2025-09-09 11:58:19.076414
135,2,1,"2","retained",1,2025-09-09 11:58:19.076414
136,2,1,"2","retained",1,2025-09-09 11:58:19.076414
137,2,1,"1","retained",1,2025-09-09 11:58:19.076414
138,2,1,"7","retained",1,2025-09-09 11:58:19.076414
140,2,1,"1","retained",1,2025-09-09 11:58:19.076414
141,2,1,"3","retained",1,2025-09-09 11:58:19.076414
145,2,1,"2","retained",1,2025-09-09 11:58:19.076414
147,2,1,"6","retained",1,2025-09-09 11:58:19.076414
151,2,1,"4","retained",1,2025-09-09 11:58:19.076414
152,2,1,"6","retained",1,2025-09-09 11:58:19.076414
153,2,1,"1","retained",1,2025-09-09 11:58:19.076414
154,2,1,"4","retained",1,2025-09-09 11:58:19.076414
156,2,1,"1","retained",1,2025-09-09 11:58:19.076414
157,2,1,"2","retained",1,2025-09-09 11:58:19.076414
158,2,1,"2","retained",1,2025-09-09 11:58:19.076414
159,2,1,"3","retained",1,2025-09-09 11:58:19.076414
160,2,1,"2","retained",1,2025-09-09 11:58:19.076414
161,2,1,"1","retained",1,2025-09-09 11:58:19.076414
163,2,1,"6","retained",1,2025-09-09 11:58:19.076414
165,2,1,"1","retained",1,2025-09-09 11:58:19.076414
166,2,1,"7","retained",1,2025-09-09 11:58:19.076414
170,2,1,"15","retained",1,2025-09-09 11:58:19.076414
172,2,1,"2","retained",1,2025-09-09 11:58:19.076414
173,2,1,"1","retained",1,2025-09-09 11:58:19.076414
174,2,1,"1","retained",1,2025-09-09 11:58:19.076414
175,2,1,"4","retained",1,2025-09-09 11:58:19.076414
176,2,1,"2","retained",1,2025-09-09 11:58:19.076414
177,2,1,"6","retained",1,2025-09-09 11:58:19.076414
180,2,1,"2","retained",1,2025-09-09 11:58:19.076414
182,2,1,"4","retained",1,2025-09-09 11:58:19.076414
184,2,1,"2","retained",1,2025-09-09 11:58:19.076414
186,2,1,"1","retained",1,2025-09-09 11:58:19.076414
188,2,1,"6","retained",1,2025-09-09 11:58:19.076414
189,2,1,"2","retained",1,2025-09-09 11:58:19.076414
191,2,1,"11","retained",1,2025-09-09 11:58:19.076414
193,2,1,"1","retained",1,2025-09-09 11:58:19.076414
195,2,1,"12","retained",1,2025-09-09 11:58:19.076414
197,2,1,"1","retained",1,2025-09-09 11:58:19.076414
198,2,1,"2","retained",1,2025-09-09 11:58:19.076414
199,2,1,"2","retained",1,2025-09-09 11:58:19.076414
201,2,1,"6","retained",1,2025-09-09 11:58:19.076414
203,2,1,"1","retained",1,2025-09-09 11:58:19.076414
204,2,1,"8","retained",1,2025-09-09 11:58:19.076414
207,2,1,"10","retained",1,2025-09-09 11:58:19.076414
209,2,1,"1","retained",1,2025-09-09 11:58:19.076414
210,2,1,"6","retained",1,2025-09-09 11:58:19.076414
214,2,1,"11","retained",1,2025-09-09 11:58:19.076414
215,2,1,"1","retained",1,2025-09-09 11:58:19.076414
217,2,1,"6","retained",1,2025-09-09 11:58:19.076414
219,2,1,"1","retained",1,2025-09-09 11:58:19.076414
220,2,1,"11","retained",1,2025-09-09 11:58:19.076414
224,2,1,"1","retained",1,2025-09-09 11:58:19.076414
226,2,1,"6","retained",1,2025-09-09 11:58:19.076414
229,2,1,"13","retained",1,2025-09-09 11:58:19.076414
230,2,1,"1","retained",1,2025-09-09 11:58:19.076414
