"drift_id","species_id","life_history_type_id","catch_count","retention_type","marked_fish_type_id","created_at"
4,2,1,"2","retained",1,2025-09-09 10:38:01.982543
7,2,1,"2","retained",1,2025-09-09 10:38:01.982543
11,2,1,"1","retained",1,2025-09-09 10:38:01.982543
14,2,1,"2","retained",1,2025-09-09 10:38:01.982543
15,2,1,"2","retained",1,2025-09-09 10:38:01.982543
16,2,1,"1","retained",1,2025-09-09 10:38:01.982543
18,2,1,"1","retained",1,2025-09-09 10:38:01.982543
19,2,1,"1","retained",1,2025-09-09 10:38:01.982543
20,2,1,"2","retained",1,2025-09-09 10:38:01.982543
21,2,1,"2","retained",1,2025-09-09 10:38:01.982543
23,2,1,"1","retained",1,2025-09-09 10:38:01.982543
24,2,1,"1","retained",1,2025-09-09 10:38:01.982543
27,2,1,"2","retained",1,2025-09-09 10:38:01.982543
29,2,1,"5","retained",1,2025-09-09 10:38:01.982543
30,2,1,"1","retained",1,2025-09-09 10:38:01.982543
31,2,1,"1","retained",1,2025-09-09 10:38:01.982543
33,2,1,"1","retained",1,2025-09-09 10:38:01.982543
34,2,1,"1","retained",1,2025-09-09 10:38:01.982543
35,2,1,"3","retained",1,2025-09-09 10:38:01.982543
37,2,1,"3","retained",1,2025-09-09 10:38:01.982543
39,2,1,"1","retained",1,2025-09-09 10:38:01.982543
40,2,1,"1","retained",1,2025-09-09 10:38:01.982543
42,2,1,"1","retained",1,2025-09-09 10:38:01.982543
45,2,1,"1","retained",1,2025-09-09 10:38:01.982543
48,2,1,"1","retained",1,2025-09-09 10:38:01.982543
49,2,1,"1","retained",1,2025-09-09 10:38:01.982543
52,2,1,"3","retained",1,2025-09-09 10:38:01.982543
53,2,1,"1","retained",1,2025-09-09 10:38:01.982543
55,2,1,"5","retained",1,2025-09-09 10:38:01.982543
58,2,1,"13","retained",1,2025-09-09 10:38:01.982543
60,2,1,"1","retained",1,2025-09-09 10:38:01.982543
62,2,1,"2","retained",1,2025-09-09 10:38:01.982543
63,2,1,"6","retained",1,2025-09-09 10:38:01.982543
64,2,1,"1","retained",1,2025-09-09 10:38:01.982543
65,2,1,"7","retained",1,2025-09-09 10:38:01.982543
66,2,1,"1","retained",1,2025-09-09 10:38:01.982543
68,2,1,"3","retained",1,2025-09-09 10:38:01.982543
69,2,1,"8","retained",1,2025-09-09 10:38:01.982543
71,2,1,"1","retained",1,2025-09-09 10:38:01.982543
72,2,1,"3","retained",1,2025-09-09 10:38:01.982543
75,2,1,"2","retained",1,2025-09-09 10:38:01.982543
76,2,1,"3","retained",1,2025-09-09 10:38:01.982543
78,2,1,"6","retained",1,2025-09-09 10:38:01.982543
79,2,1,"1","retained",1,2025-09-09 10:38:01.982543
80,2,1,"2","retained",1,2025-09-09 10:38:01.982543
81,2,1,"7","retained",1,2025-09-09 10:38:01.982543
83,2,1,"3","retained",1,2025-09-09 10:38:01.982543
85,2,1,"11","retained",1,2025-09-09 10:38:01.982543
86,2,1,"2","retained",1,2025-09-09 10:38:01.982543
87,2,1,"2","retained",1,2025-09-09 10:38:01.982543
88,2,1,"2","retained",1,2025-09-09 10:38:01.982543
91,2,1,"4","retained",1,2025-09-09 10:38:01.982543
94,2,1,"5","retained",1,2025-09-09 10:38:01.982543
95,2,1,"3","retained",1,2025-09-09 10:38:01.982543
96,2,1,"1","retained",1,2025-09-09 10:38:01.982543
98,2,1,"3","retained",1,2025-09-09 10:38:01.982543
100,2,1,"3","retained",1,2025-09-09 10:38:01.982543
101,2,1,"4","retained",1,2025-09-09 10:38:01.982543
103,2,1,"20","retained",1,2025-09-09 10:38:01.982543
107,2,1,"6","retained",1,2025-09-09 10:38:01.982543
